jornada, local, visita
18,,
,LC,PA
,TM,CC
,UC,EV
,UdC,HH
,SL,OH
,AN,CR
,U,AI
,UE,IQ
19,,
,EV,UdC
,PA,TM
,LC,UC
,UE,U
,CR,IQ
,OH,AN
,CC,SL
,HH,AI
20,,
,AI,PA
,SL,UE
,AN,LC
,U,OH
,EV,HH
,IQ,CC
,UdC,TM
,UC,CR
21,,
,CR,UdC
,CC,U
,TM,EV
,HH,AN
,OH,UE
,PA,SL
,LC,IQ
,AI,UC
22,,
,U,TM
,IQ,OH
,SL,AI
,UE,UC
,UdC,LC
,EV,CC
,AN,PA
,HH,CR
23,,
,TM,HH
,PA,UE
,AI,IQ
,LC,EV
,UC,SL
,UdC,U
,CR,OH
,CC,AN
24,,
,SL,HH
,IQ,TM
,U,LC
,OH,PA
,EV,AI
,UC,CC
,AN,UdC
,UE,CR
25,,
,TM,OH
,PA,U
,HH,UC
,AI,LC
,CR,EV
,SL,AN
,CC,UE
,UdC,IQ
26,,
,UE,TM
,OH,CC
,CR,PA
,LC,HH
,UC,UdC
,IQ,SL
,AN,AI
,U,EV
27,,
,UdC,UE
,U,UC
,LC,SL
,HH,OH
,PA,IQ
,EV,AN
,AI,CC
,TM,CR
28,,
,OH,UdC
,IQ,HH
,TM,AI
,UE,EV
,AN,UC
,CR,LC
,CC,PA
,SL,U
29,,
,AI,CR
,HH,CC
,AN,UE
,LC,TM
,EV,PA
,UdC,SL
,U,IQ
,UC,OH
30,,
,SL,EV
,UE,LC
,OH,AI
,IQ,AN
,PA,HH
,TM,UC
,CR,U
,CC,UdC
